0	 z'i@roU
Ag	 'ag
Ag's	 'agz
Agamemnon	 'ageImmn@n
Agamemnon's	 'ageImmn@nz
Agana	 ag'A:n@
Agassi	 'aga#s,i
Agassi's	 'aga#s,iz
Agassiz	 'aga#s,Iz
Agassiz's	 'aga#s,IzI2z
Agatha	 'aga#T@
Agatha's	 'aga#T@z
Aggie	 'agi
Aggie's	 'agiz
Aglaia	 a#gl'eI@
Aglaia's	 a#gl'eI@z
Agnes	 'agn@s
Agnes's	 'agn@sI2z
Agnew	 'agnju:
Agnew's	 'agnju:z
Agni	 'agni
Agni's	 'agniz
Agra	 'agr@
Agra's	 'agr@z
Agricola	 ,agrIk'oUl@
Agricola's	 ,agrIk'oUl@z
Agrippa	 'agrIp@
Agrippa's	 'agrIp@z
Agrippina	 'agrIp,In@
Agrippina's	 'agrIp,In@z
Aguascalientes	 'agju:,askeIl,i@nts
Aguilar	 'agwIl3
Aguilar's	 'agwIl3z
Aguinaldo	 ,agwIn'aldoU
Aguinaldo's	 ,agwIn'aldoUz
Aguirre	 'agw3:r@
Aguirre's	 'agw3:r@z
Agustin	 'ag@st,In
Agustin's	 'ag@st,Inz
Ahab	 'eIhab
Ahab's	 'eIhabz
Ahmad	 'A:mad
Ahmad's	 'A:madz
Ahmadabad	 A:m'ada#b,ad
Ahmadabad's	 A:m'ada#b,adz
Ahmadinejad	 'A:ma#d,aIndZad
Ahmadinejad's	 'A:ma#d,aIndZadz
Ahmed	 'axmEd
Ahmed's	 'axmEdz
Ahriman	 'A:rIm@n
Ahriman's	 'A:rIm@nz
Aida	 'eId@
Aida's	 'eId@z
Aiken	 'eIk@n
Aiken's	 'eIk@nz
Aileen	 'eIli:n
Aileen's	 'eIli:nz
Aimee	 'eImi:
Aimee's	 'eImi:z
Ainu	 'eInu:
Ainu's	 'eInu:z
Airedale	 'e@deIl
Airedales	 'e@deIlz
Airedale's	 'e@deIlz
Aires	 'aIrIz
Aires's	 'aIrIzI2z
Aisha	 'eIS@
Aisha's	 'eIS@z
Ajax	 'eIdZaks
Ajax's	 'eIdZaksI2z
Akbar	 'akbA@
Akbar's	 'akbA@z
Akhmatova	 ,akhma#t'oUv@
Akhmatova's	 ,akhma#t'oUv@z
Akihito	 a#kIh'i:toU
